"study","bullet_dir","filename"
"Hamby Set 224","Barrel 1/Bullet 1","Barrel 1/Bullet 1/HS224 - Barrel 1 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Barrel 1/Bullet 2","Barrel 1/Bullet 2/HS224 - Barrel 1 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Barrel 10/Bullet 1","Barrel 10/Bullet 1/HS224 - Barrel 10  - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Barrel 10/Bullet 2","Barrel 10/Bullet 2/HS224 - Barrel 10  - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Barrel 2/Bullet 1","Barrel 2/Bullet 1/HS224 - Barrel 2 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Barrel 2/Bullet 2","Barrel 2/Bullet 2/HS224 - Barrel 2 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Barrel 3/Bullet 1","Barrel 3/Bullet 1/HS224 - Barrel 3 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Barrel 3/Bullet 2","Barrel 3/Bullet 2/HS224 - Barrel 3 - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Barrel 4/Bullet 1","Barrel 4/Bullet 1/HS224 - Barrel 4 - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Barrel 4/Bullet 2","Barrel 4/Bullet 2/HS224 - Barrel 4 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Barrel 5/Bullet 1","Barrel 5/Bullet 1/HS224 - Barrel 5 - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Barrel 5/Bullet 2","Barrel 5/Bullet 2/HS224 - Barrel 5 - Bullet 2 - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Barrel 6/Bullet 1","Barrel 6/Bullet 1/HS224 - Barrel 6  - Bullet 1 - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Barrel 6/Bullet 2","Barrel 6/Bullet 2/HS224 - Barrel 6  - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Barrel 7/Bullet 1","Barrel 7/Bullet 1/HS224 - Barrel 7  - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Barrel 7/Bullet 2","Barrel 7/Bullet 2/HS224 - Barrel 7  - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Barrel 8/Bullet 1","Barrel 8/Bullet 1/HS224 - Barrel 8  - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Barrel 8/Bullet 2","Barrel 8/Bullet 2/HS224 - Barrel 8  - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Barrel 9/Bullet 1","Barrel 9/Bullet 1/HS224 - Barrel 9  - Bullet 1 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Barrel 9/Bullet 2","Barrel 9/Bullet 2/HS224 - Barrel 9  - Bullet 2 - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Unknown/Bullet F","Unknown/Bullet F/HS224 - Unknown - Bullet F - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Carley McConnell.x3p"
"Hamby Set 224","Unknown/Bullet G","Unknown/Bullet G/HS224 - Unknown - Bullet G - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Carley McConnell.x3p"
"Hamby Set 224","Unknown/Bullet H","Unknown/Bullet H/HS224 - Unknown - Bullet H - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Carley McConnell.x3p"
"Hamby Set 224","Unknown/Bullet I","Unknown/Bullet I/HS224 - Unknown - Bullet I - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Carley McConnell.x3p"
"Hamby Set 224","Unknown/Bullet J","Unknown/Bullet J/HS224 - Unknown - Bullet J - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Carley McConnell.x3p"
"Hamby Set 224","Unknown/Bullet N","Unknown/Bullet N/HS224 - Unknown - Bullet N - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Carley McConnell.x3p"
"Hamby Set 224","Unknown/Bullet P","Unknown/Bullet P/HS224 - Unknown - Bullet P - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Carley McConnell.x3p"
"Hamby Set 224","Unknown/Bullet Q","Unknown/Bullet Q/HS224 - Unknown - Bullet Q - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Unknown/Bullet R","Unknown/Bullet R/HS224 - Unknown - Bullet R - Land 1 - Sneox2 - 20x - auto light left image +20% - threshold 2 - resolution 4 - Anyesha Ray.x3p"
"Hamby Set 224","Unknown/Bullet S","Unknown/Bullet S/HS224 - Unknown - Bullet S - Land 1 - Sneox1 - 20x - auto light left image +20% & x10 - threshold 2 - resolution 4 - Carley McConnell.x3p"
